cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1372,0.975124
2026,2026,1,cocci,bacilli,35,0.024876
2026,2026,1,bacilli,cocci,22,0.011567
2026,2026,1,bacilli,bacilli,1880,0.988433
2026,2026,2,cocci,cocci,1384,0.959113
2026,2026,2,cocci,bacilli,59,0.040887
2026,2026,2,bacilli,cocci,220,0.11585
2026,2026,2,bacilli,bacilli,1679,0.88415
2026,2026,3,cocci,cocci,1421,0.994402
2026,2026,3,cocci,bacilli,8,0.005598
2026,2026,3,bacilli,cocci,164,0.084362
2026,2026,3,bacilli,bacilli,1780,0.915638
2026,2026,4,cocci,cocci,1417,0.986769
2026,2026,4,cocci,bacilli,19,0.013231
2026,2026,4,bacilli,cocci,51,0.026535
2026,2026,4,bacilli,bacilli,1871,0.973465
2026,2026,5,cocci,cocci,1418,0.989532
2026,2026,5,cocci,bacilli,15,0.010468
2026,2026,5,bacilli,cocci,80,0.042083
2026,2026,5,bacilli,bacilli,1821,0.957917
2027,2027,1,cocci,cocci,1350,0.959488
2027,2027,1,cocci,bacilli,57,0.040512
2027,2027,1,bacilli,cocci,44,0.023134
2027,2027,1,bacilli,bacilli,1858,0.976866
2027,2027,2,cocci,cocci,1286,0.891199
2027,2027,2,cocci,bacilli,157,0.108801
2027,2027,2,bacilli,cocci,14,0.007372
2027,2027,2,bacilli,bacilli,1885,0.992628
2027,2027,3,cocci,cocci,1404,0.982505
2027,2027,3,cocci,bacilli,25,0.017495
2027,2027,3,bacilli,cocci,22,0.011317
2027,2027,3,bacilli,bacilli,1922,0.988683
2027,2027,4,cocci,cocci,1420,0.988858
2027,2027,4,cocci,bacilli,16,0.011142
2027,2027,4,bacilli,cocci,26,0.013528
2027,2027,4,bacilli,bacilli,1896,0.986472
2027,2027,5,cocci,cocci,1377,0.960921
2027,2027,5,cocci,bacilli,56,0.039079
2027,2027,5,bacilli,cocci,2,0.001052
2027,2027,5,bacilli,bacilli,1899,0.998948
2028,2028,1,cocci,cocci,1270,0.90263
2028,2028,1,cocci,bacilli,137,0.09737
2028,2028,1,bacilli,cocci,50,0.026288
2028,2028,1,bacilli,bacilli,1852,0.973712
2028,2028,2,cocci,cocci,1394,0.966043
2028,2028,2,cocci,bacilli,49,0.033957
2028,2028,2,bacilli,cocci,40,0.021064
2028,2028,2,bacilli,bacilli,1859,0.978936
2028,2028,3,cocci,cocci,1421,0.994402
2028,2028,3,cocci,bacilli,8,0.005598
2028,2028,3,bacilli,cocci,62,0.031893
2028,2028,3,bacilli,bacilli,1882,0.968107
2028,2028,4,cocci,cocci,1390,0.967967
2028,2028,4,cocci,bacilli,46,0.032033
2028,2028,4,bacilli,cocci,20,0.010406
2028,2028,4,bacilli,bacilli,1902,0.989594
2028,2028,5,cocci,cocci,1424,0.993719
2028,2028,5,cocci,bacilli,9,0.006281
2028,2028,5,bacilli,cocci,34,0.017885
2028,2028,5,bacilli,bacilli,1867,0.982115
