cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.078194,0.988776,100.3,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1880,1372,35,22,0.982774,0.975124,0.988433,0.984218,0.975124,0.97965,0.981723,0.988433,0.985067,0.982971,0.981779,0.982358,0.981779,checkpoints/57_mobilenetv4_stylegan3_dataset2/seed_2026_round_1_final.pth,results/57_mobilenetv4_stylegan3_dataset2/seed_2026_round_1_predictions.csv,results/57_mobilenetv4_stylegan3_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.050657,0.990872,89.13,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1679,1384,59,220,0.916517,0.959113,0.88415,0.862843,0.959113,0.908435,0.966053,0.88415,0.923288,0.914448,0.921631,0.915861,0.921631,checkpoints/57_mobilenetv4_stylegan3_dataset2/seed_2026_round_2_final.pth,results/57_mobilenetv4_stylegan3_dataset2/seed_2026_round_2_predictions.csv,results/57_mobilenetv4_stylegan3_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.109769,0.983259,58.13,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1780,1421,8,164,0.949007,0.994402,0.915638,0.89653,0.994402,0.942933,0.995526,0.915638,0.953912,0.946028,0.95502,0.948423,0.95502,checkpoints/57_mobilenetv4_stylegan3_dataset2/seed_2026_round_3_final.pth,results/57_mobilenetv4_stylegan3_dataset2/seed_2026_round_3_predictions.csv,results/57_mobilenetv4_stylegan3_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.084529,0.990426,72.56,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1871,1417,19,51,0.979154,0.986769,0.973465,0.965259,0.986769,0.975895,0.989947,0.973465,0.981637,0.977603,0.980117,0.978766,0.980117,checkpoints/57_mobilenetv4_stylegan3_dataset2/seed_2026_round_4_final.pth,results/57_mobilenetv4_stylegan3_dataset2/seed_2026_round_4_predictions.csv,results/57_mobilenetv4_stylegan3_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.27465,0.974542,74.7,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1821,1418,15,80,0.971506,0.989532,0.957917,0.946595,0.989532,0.967588,0.99183,0.957917,0.974579,0.969213,0.973725,0.971083,0.973725,checkpoints/57_mobilenetv4_stylegan3_dataset2/seed_2026_round_5_final.pth,results/57_mobilenetv4_stylegan3_dataset2/seed_2026_round_5_predictions.csv,results/57_mobilenetv4_stylegan3_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.230698,0.978571,62.84,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1858,1350,57,44,0.969477,0.959488,0.976866,0.968436,0.959488,0.963941,0.970235,0.976866,0.973539,0.969336,0.968177,0.96874,0.968177,checkpoints/57_mobilenetv4_stylegan3_dataset2/seed_2027_round_1_final.pth,results/57_mobilenetv4_stylegan3_dataset2/seed_2027_round_1_predictions.csv,results/57_mobilenetv4_stylegan3_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.03148,0.994929,63.79,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1885,1286,157,14,0.948833,0.891199,0.992628,0.989231,0.891199,0.937659,0.923115,0.992628,0.95661,0.956173,0.941913,0.947135,0.941913,checkpoints/57_mobilenetv4_stylegan3_dataset2/seed_2027_round_2_final.pth,results/57_mobilenetv4_stylegan3_dataset2/seed_2027_round_2_predictions.csv,results/57_mobilenetv4_stylegan3_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.109989,0.987723,58.64,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1922,1404,25,22,0.986066,0.982505,0.988683,0.984572,0.982505,0.983538,0.98716,0.988683,0.987921,0.985866,0.985594,0.985729,0.985594,checkpoints/57_mobilenetv4_stylegan3_dataset2/seed_2027_round_3_final.pth,results/57_mobilenetv4_stylegan3_dataset2/seed_2027_round_3_predictions.csv,results/57_mobilenetv4_stylegan3_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.009352,0.996809,60.75,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1896,1420,16,26,0.987493,0.988858,0.986472,0.982019,0.988858,0.985427,0.991632,0.986472,0.989045,0.986826,0.987665,0.987236,0.987665,checkpoints/57_mobilenetv4_stylegan3_dataset2/seed_2027_round_4_final.pth,results/57_mobilenetv4_stylegan3_dataset2/seed_2027_round_4_predictions.csv,results/57_mobilenetv4_stylegan3_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,mobilenetv4,MobileNetV4-Conv-Medium,stylegan3,10,0.056402,0.988798,63.11,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1899,1377,56,2,0.982603,0.960921,0.998948,0.99855,0.960921,0.979374,0.971355,0.998948,0.984959,0.984953,0.979935,0.982166,0.979935,checkpoints/57_mobilenetv4_stylegan3_dataset2/seed_2027_round_5_final.pth,results/57_mobilenetv4_stylegan3_dataset2/seed_2027_round_5_predictions.csv,results/57_mobilenetv4_stylegan3_dataset2/seed_2027_round_5_training_history.csv
