cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1357,0.964463
2026,2026,1,cocci,bacilli,50,0.035537
2026,2026,1,bacilli,cocci,21,0.011041
2026,2026,1,bacilli,bacilli,1881,0.988959
2026,2026,2,cocci,cocci,1359,0.941788
2026,2026,2,cocci,bacilli,84,0.058212
2026,2026,2,bacilli,cocci,15,0.007899
2026,2026,2,bacilli,bacilli,1884,0.992101
2026,2026,3,cocci,cocci,1415,0.990203
2026,2026,3,cocci,bacilli,14,0.009797
2026,2026,3,bacilli,cocci,86,0.044239
2026,2026,3,bacilli,bacilli,1858,0.955761
2026,2026,4,cocci,cocci,1418,0.987465
2026,2026,4,cocci,bacilli,18,0.012535
2026,2026,4,bacilli,cocci,52,0.027055
2026,2026,4,bacilli,bacilli,1870,0.972945
2026,2026,5,cocci,cocci,1415,0.987439
2026,2026,5,cocci,bacilli,18,0.012561
2026,2026,5,bacilli,cocci,35,0.018411
2026,2026,5,bacilli,bacilli,1866,0.981589
2027,2027,1,cocci,cocci,1380,0.98081
2027,2027,1,cocci,bacilli,27,0.01919
2027,2027,1,bacilli,cocci,27,0.014196
2027,2027,1,bacilli,bacilli,1875,0.985804
2027,2027,2,cocci,cocci,1404,0.972973
2027,2027,2,cocci,bacilli,39,0.027027
2027,2027,2,bacilli,cocci,24,0.012638
2027,2027,2,bacilli,bacilli,1875,0.987362
2027,2027,3,cocci,cocci,1348,0.943317
2027,2027,3,cocci,bacilli,81,0.056683
2027,2027,3,bacilli,cocci,18,0.009259
2027,2027,3,bacilli,bacilli,1926,0.990741
2027,2027,4,cocci,cocci,1418,0.987465
2027,2027,4,cocci,bacilli,18,0.012535
2027,2027,4,bacilli,cocci,48,0.024974
2027,2027,4,bacilli,bacilli,1874,0.975026
2027,2027,5,cocci,cocci,1365,0.952547
2027,2027,5,cocci,bacilli,68,0.047453
2027,2027,5,bacilli,cocci,5,0.00263
2027,2027,5,bacilli,bacilli,1896,0.99737
2028,2028,1,cocci,cocci,1338,0.950959
2028,2028,1,cocci,bacilli,69,0.049041
2028,2028,1,bacilli,cocci,17,0.008938
2028,2028,1,bacilli,bacilli,1885,0.991062
2028,2028,2,cocci,cocci,1239,0.858628
2028,2028,2,cocci,bacilli,204,0.141372
2028,2028,2,bacilli,cocci,1,0.000527
2028,2028,2,bacilli,bacilli,1898,0.999473
2028,2028,3,cocci,cocci,1383,0.96781
2028,2028,3,cocci,bacilli,46,0.03219
2028,2028,3,bacilli,cocci,20,0.010288
2028,2028,3,bacilli,bacilli,1924,0.989712
2028,2028,4,cocci,cocci,1419,0.988162
2028,2028,4,cocci,bacilli,17,0.011838
2028,2028,4,bacilli,cocci,79,0.041103
2028,2028,4,bacilli,bacilli,1843,0.958897
2028,2028,5,cocci,cocci,1419,0.99023
2028,2028,5,cocci,bacilli,14,0.00977
2028,2028,5,bacilli,cocci,50,0.026302
2028,2028,5,bacilli,bacilli,1851,0.973698
