cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.050933,0.994898,98.46,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1881,1357,50,21,0.978543,0.964463,0.988959,0.984761,0.964463,0.974506,0.974107,0.988959,0.981477,0.979434,0.976711,0.977991,0.976711,checkpoints/58_mobilenetv4_diffusion_gan_dataset2/seed_2026_round_1_final.pth,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2026_round_1_predictions.csv,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.01802,0.996957,86.83,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1884,1359,84,15,0.970377,0.941788,0.992101,0.989083,0.941788,0.964856,0.957317,0.992101,0.974399,0.9732,0.966945,0.969627,0.966945,checkpoints/58_mobilenetv4_diffusion_gan_dataset2/seed_2026_round_2_final.pth,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2026_round_2_predictions.csv,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.115761,0.988839,57.71,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1858,1415,14,86,0.970353,0.990203,0.955761,0.942705,0.990203,0.96587,0.992521,0.955761,0.973795,0.967613,0.972982,0.969832,0.972982,checkpoints/58_mobilenetv4_diffusion_gan_dataset2/seed_2026_round_3_final.pth,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2026_round_3_predictions.csv,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.068896,0.995745,72.93,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1870,1418,18,52,0.979154,0.987465,0.972945,0.964626,0.987465,0.975912,0.990466,0.972945,0.981627,0.977546,0.980205,0.97877,0.980205,checkpoints/58_mobilenetv4_diffusion_gan_dataset2/seed_2026_round_4_final.pth,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2026_round_4_predictions.csv,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.118412,0.985743,74.06,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1866,1415,18,35,0.984103,0.987439,0.981589,0.975862,0.987439,0.981616,0.990446,0.981589,0.985997,0.983154,0.984514,0.983807,0.984514,checkpoints/58_mobilenetv4_diffusion_gan_dataset2/seed_2026_round_5_final.pth,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2026_round_5_predictions.csv,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.182633,0.988776,62.76,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1875,1380,27,27,0.983681,0.98081,0.985804,0.98081,0.98081,0.98081,0.985804,0.985804,0.985804,0.983307,0.983307,0.983307,0.983307,checkpoints/58_mobilenetv4_diffusion_gan_dataset2/seed_2027_round_1_final.pth,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2027_round_1_predictions.csv,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.034246,0.992901,63.07,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1875,1404,39,24,0.981149,0.972973,0.987362,0.983193,0.972973,0.978056,0.979624,0.987362,0.983478,0.981409,0.980167,0.980767,0.980167,checkpoints/58_mobilenetv4_diffusion_gan_dataset2/seed_2027_round_2_final.pth,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2027_round_2_predictions.csv,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.055113,0.989955,58.46,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1926,1348,81,18,0.970649,0.943317,0.990741,0.986823,0.943317,0.96458,0.959641,0.990741,0.974943,0.973232,0.967029,0.969761,0.967029,checkpoints/58_mobilenetv4_diffusion_gan_dataset2/seed_2027_round_3_final.pth,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2027_round_3_predictions.csv,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.098884,0.991489,61.07,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1874,1418,18,48,0.980345,0.987465,0.975026,0.967258,0.987465,0.977257,0.990486,0.975026,0.982695,0.978872,0.981246,0.979976,0.981246,checkpoints/58_mobilenetv4_diffusion_gan_dataset2/seed_2027_round_4_final.pth,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2027_round_4_predictions.csv,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.089529,0.989817,62.78,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1896,1365,68,5,0.978104,0.952547,0.99737,0.99635,0.952547,0.973956,0.965377,0.99737,0.981113,0.980864,0.974958,0.977535,0.974958,checkpoints/58_mobilenetv4_diffusion_gan_dataset2/seed_2027_round_5_final.pth,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2027_round_5_predictions.csv,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2027_round_5_training_history.csv
2028,2028,1,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.054359,0.986735,63.1,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1885,1338,69,17,0.97401,0.950959,0.991062,0.987454,0.950959,0.968863,0.964688,0.991062,0.977697,0.976071,0.971011,0.97328,0.971011,checkpoints/58_mobilenetv4_diffusion_gan_dataset2/seed_2028_round_1_final.pth,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2028_round_1_predictions.csv,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2028_round_1_training_history.csv
2028,2028,2,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.027748,0.994929,63.03,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1898,1239,204,1,0.938659,0.858628,0.999473,0.999194,0.858628,0.923593,0.90295,0.999473,0.948763,0.951072,0.929051,0.936178,0.929051,checkpoints/58_mobilenetv4_diffusion_gan_dataset2/seed_2028_round_2_final.pth,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2028_round_2_predictions.csv,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2028_round_2_training_history.csv
2028,2028,3,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.023748,0.996652,58.71,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1924,1383,46,20,0.980433,0.96781,0.989712,0.985745,0.96781,0.976695,0.97665,0.989712,0.983137,0.981197,0.978761,0.979916,0.978761,checkpoints/58_mobilenetv4_diffusion_gan_dataset2/seed_2028_round_3_final.pth,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2028_round_3_predictions.csv,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2028_round_3_training_history.csv
2028,2028,4,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.042559,0.991489,60.86,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1843,1419,17,79,0.971412,0.988162,0.958897,0.947263,0.988162,0.96728,0.99086,0.958897,0.974617,0.969062,0.973529,0.970948,0.973529,checkpoints/58_mobilenetv4_diffusion_gan_dataset2/seed_2028_round_4_final.pth,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2028_round_4_predictions.csv,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2028_round_4_training_history.csv
2028,2028,5,mobilenetv4,MobileNetV4-Conv-Medium,diffusion_gan,10,0.057666,0.992872,62.93,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1851,1419,14,50,0.980804,0.99023,0.973698,0.965963,0.99023,0.977946,0.992493,0.973698,0.983006,0.979228,0.981964,0.980476,0.981964,checkpoints/58_mobilenetv4_diffusion_gan_dataset2/seed_2028_round_5_final.pth,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2028_round_5_predictions.csv,results/58_mobilenetv4_diffusion_gan_dataset2/seed_2028_round_5_training_history.csv
