cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1391,0.988628
2026,2026,1,cocci,bacilli,16,0.011372
2026,2026,1,bacilli,cocci,32,0.016824
2026,2026,1,bacilli,bacilli,1870,0.983176
2026,2026,2,cocci,cocci,1434,0.993763
2026,2026,2,cocci,bacilli,9,0.006237
2026,2026,2,bacilli,cocci,15,0.007899
2026,2026,2,bacilli,bacilli,1884,0.992101
2026,2026,3,cocci,cocci,1417,0.991603
2026,2026,3,cocci,bacilli,12,0.008397
2026,2026,3,bacilli,cocci,5,0.002572
2026,2026,3,bacilli,bacilli,1939,0.997428
2026,2026,4,cocci,cocci,1430,0.995822
2026,2026,4,cocci,bacilli,6,0.004178
2026,2026,4,bacilli,cocci,6,0.003122
2026,2026,4,bacilli,bacilli,1916,0.996878
2026,2026,5,cocci,cocci,1415,0.987439
2026,2026,5,cocci,bacilli,18,0.012561
2026,2026,5,bacilli,cocci,16,0.008417
2026,2026,5,bacilli,bacilli,1885,0.991583
2027,2027,1,cocci,cocci,1399,0.994314
2027,2027,1,cocci,bacilli,8,0.005686
2027,2027,1,bacilli,cocci,14,0.007361
2027,2027,1,bacilli,bacilli,1888,0.992639
2027,2027,2,cocci,cocci,1436,0.995149
2027,2027,2,cocci,bacilli,7,0.004851
2027,2027,2,bacilli,cocci,3,0.00158
2027,2027,2,bacilli,bacilli,1896,0.99842
2027,2027,3,cocci,cocci,1401,0.980406
2027,2027,3,cocci,bacilli,28,0.019594
2027,2027,3,bacilli,cocci,9,0.00463
2027,2027,3,bacilli,bacilli,1935,0.99537
2027,2027,4,cocci,cocci,1372,0.955432
2027,2027,4,cocci,bacilli,64,0.044568
2027,2027,4,bacilli,cocci,11,0.005723
2027,2027,4,bacilli,bacilli,1911,0.994277
2027,2027,5,cocci,cocci,1426,0.995115
2027,2027,5,cocci,bacilli,7,0.004885
2027,2027,5,bacilli,cocci,8,0.004208
2027,2027,5,bacilli,bacilli,1893,0.995792
2028,2028,1,cocci,cocci,1394,0.99076
2028,2028,1,cocci,bacilli,13,0.00924
2028,2028,1,bacilli,cocci,15,0.007886
2028,2028,1,bacilli,bacilli,1887,0.992114
2028,2028,2,cocci,cocci,1429,0.990298
2028,2028,2,cocci,bacilli,14,0.009702
2028,2028,2,bacilli,cocci,3,0.00158
2028,2028,2,bacilli,bacilli,1896,0.99842
2028,2028,3,cocci,cocci,1422,0.995101
2028,2028,3,cocci,bacilli,7,0.004899
2028,2028,3,bacilli,cocci,12,0.006173
2028,2028,3,bacilli,bacilli,1932,0.993827
2028,2028,4,cocci,cocci,1429,0.995125
2028,2028,4,cocci,bacilli,7,0.004875
2028,2028,4,bacilli,cocci,13,0.006764
2028,2028,4,bacilli,bacilli,1909,0.993236
2028,2028,5,cocci,cocci,1422,0.992324
2028,2028,5,cocci,bacilli,11,0.007676
2028,2028,5,bacilli,cocci,8,0.004208
2028,2028,5,bacilli,bacilli,1893,0.995792
