cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,starnet,StarNet-S4,baseline,10,0.011125,0.997701,87.77,1,"2,3,4,5",86,341,870,0,870,3309,380,490,0,0,380,490,1407,1902,3309,1870,1391,16,32,0.985494,0.988628,0.983176,0.977512,0.988628,0.983039,0.991516,0.983176,0.987328,0.984514,0.985902,0.985184,0.985902,checkpoints/59_starnet_baseline_dataset2/seed_2026_round_1_final.pth,results/59_starnet_baseline_dataset2/seed_2026_round_1_predictions.csv,results/59_starnet_baseline_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,starnet,StarNet-S4,baseline,10,0.006544,0.998805,77.3,2,"1,3,4,5",86,341,837,0,837,3342,344,493,0,0,344,493,1443,1899,3342,1884,1434,9,15,0.992819,0.993763,0.992101,0.989648,0.993763,0.991701,0.995246,0.992101,0.993671,0.992447,0.992932,0.992686,0.992932,checkpoints/59_starnet_baseline_dataset2/seed_2026_round_2_final.pth,results/59_starnet_baseline_dataset2/seed_2026_round_2_predictions.csv,results/59_starnet_baseline_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,starnet,StarNet-S4,baseline,10,0.003369,1.0,59.89,3,"1,2,4,5",85,342,806,0,806,3373,358,448,0,0,358,448,1429,1944,3373,1939,1417,12,5,0.99496,0.991603,0.997428,0.996484,0.991603,0.994037,0.993849,0.997428,0.995635,0.995167,0.994515,0.994836,0.994515,checkpoints/59_starnet_baseline_dataset2/seed_2026_round_3_final.pth,results/59_starnet_baseline_dataset2/seed_2026_round_3_predictions.csv,results/59_starnet_baseline_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,starnet,StarNet-S4,baseline,10,0.008463,0.997564,60.52,4,"1,2,3,5",85,342,821,0,821,3358,351,470,0,0,351,470,1436,1922,3358,1916,1430,6,6,0.996426,0.995822,0.996878,0.995822,0.995822,0.995822,0.996878,0.996878,0.996878,0.99635,0.99635,0.99635,0.99635,checkpoints/59_starnet_baseline_dataset2/seed_2026_round_4_final.pth,results/59_starnet_baseline_dataset2/seed_2026_round_4_predictions.csv,results/59_starnet_baseline_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,starnet,StarNet-S4,baseline,10,0.008485,0.997633,61.83,5,"1,2,3,4",85,342,845,0,845,3334,354,491,0,0,354,491,1433,1901,3334,1885,1415,18,16,0.989802,0.987439,0.991583,0.988819,0.987439,0.988128,0.990541,0.991583,0.991062,0.98968,0.989511,0.989595,0.989511,checkpoints/59_starnet_baseline_dataset2/seed_2026_round_5_final.pth,results/59_starnet_baseline_dataset2/seed_2026_round_5_predictions.csv,results/59_starnet_baseline_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,starnet,StarNet-S4,baseline,10,0.003057,1.0,63.24,1,"2,3,4,5",86,341,870,0,870,3309,380,490,0,0,380,490,1407,1902,3309,1888,1399,8,14,0.993351,0.994314,0.992639,0.990092,0.994314,0.992199,0.995781,0.992639,0.994207,0.992936,0.993477,0.993203,0.993477,checkpoints/59_starnet_baseline_dataset2/seed_2027_round_1_final.pth,results/59_starnet_baseline_dataset2/seed_2027_round_1_predictions.csv,results/59_starnet_baseline_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,starnet,StarNet-S4,baseline,10,0.002832,1.0,63.53,2,"1,3,4,5",86,341,837,0,837,3342,344,493,0,0,344,493,1443,1899,3342,1896,1436,7,3,0.997008,0.995149,0.99842,0.997915,0.995149,0.99653,0.996322,0.99842,0.99737,0.997118,0.996785,0.99695,0.996785,checkpoints/59_starnet_baseline_dataset2/seed_2027_round_2_final.pth,results/59_starnet_baseline_dataset2/seed_2027_round_2_predictions.csv,results/59_starnet_baseline_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,starnet,StarNet-S4,baseline,10,0.01256,0.996278,60.44,3,"1,2,4,5",85,342,806,0,806,3373,358,448,0,0,358,448,1429,1944,3373,1935,1401,28,9,0.989031,0.980406,0.99537,0.993617,0.980406,0.986967,0.985736,0.99537,0.99053,0.989677,0.987888,0.988749,0.987888,checkpoints/59_starnet_baseline_dataset2/seed_2027_round_3_final.pth,results/59_starnet_baseline_dataset2/seed_2027_round_3_predictions.csv,results/59_starnet_baseline_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,starnet,StarNet-S4,baseline,10,0.007594,0.998782,61.2,4,"1,2,3,5",85,342,821,0,821,3358,351,470,0,0,351,470,1436,1922,3358,1911,1372,64,11,0.977665,0.955432,0.994277,0.992046,0.955432,0.973395,0.967595,0.994277,0.980754,0.979821,0.974854,0.977075,0.974854,checkpoints/59_starnet_baseline_dataset2/seed_2027_round_4_final.pth,results/59_starnet_baseline_dataset2/seed_2027_round_4_predictions.csv,results/59_starnet_baseline_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,starnet,StarNet-S4,baseline,10,0.022449,0.99645,62.1,5,"1,2,3,4",85,342,845,0,845,3334,354,491,0,0,354,491,1433,1901,3334,1893,1426,7,8,0.995501,0.995115,0.995792,0.994421,0.995115,0.994768,0.996316,0.995792,0.996054,0.995368,0.995453,0.995411,0.995453,checkpoints/59_starnet_baseline_dataset2/seed_2027_round_5_final.pth,results/59_starnet_baseline_dataset2/seed_2027_round_5_predictions.csv,results/59_starnet_baseline_dataset2/seed_2027_round_5_training_history.csv
2028,2028,1,starnet,StarNet-S4,baseline,10,0.003574,1.0,63.58,1,"2,3,4,5",86,341,870,0,870,3309,380,490,0,0,380,490,1407,1902,3309,1887,1394,13,15,0.991538,0.99076,0.992114,0.989354,0.99076,0.990057,0.993158,0.992114,0.992635,0.991256,0.991437,0.991346,0.991437,checkpoints/59_starnet_baseline_dataset2/seed_2028_round_1_final.pth,results/59_starnet_baseline_dataset2/seed_2028_round_1_predictions.csv,results/59_starnet_baseline_dataset2/seed_2028_round_1_training_history.csv
2028,2028,2,starnet,StarNet-S4,baseline,10,0.006208,1.0,62.18,2,"1,3,4,5",86,341,837,0,837,3342,344,493,0,0,344,493,1443,1899,3342,1896,1429,14,3,0.994913,0.990298,0.99842,0.997905,0.990298,0.994087,0.99267,0.99842,0.995537,0.995288,0.994359,0.994812,0.994359,checkpoints/59_starnet_baseline_dataset2/seed_2028_round_2_final.pth,results/59_starnet_baseline_dataset2/seed_2028_round_2_predictions.csv,results/59_starnet_baseline_dataset2/seed_2028_round_2_training_history.csv
2028,2028,3,starnet,StarNet-S4,baseline,10,0.010473,0.997519,60.42,3,"1,2,4,5",85,342,806,0,806,3373,358,448,0,0,358,448,1429,1944,3373,1932,1422,7,12,0.994367,0.995101,0.993827,0.991632,0.995101,0.993364,0.99639,0.993827,0.995107,0.994011,0.994464,0.994235,0.994464,checkpoints/59_starnet_baseline_dataset2/seed_2028_round_3_final.pth,results/59_starnet_baseline_dataset2/seed_2028_round_3_predictions.csv,results/59_starnet_baseline_dataset2/seed_2028_round_3_training_history.csv
2028,2028,4,starnet,StarNet-S4,baseline,10,0.002675,1.0,61.24,4,"1,2,3,5",85,342,821,0,821,3358,351,470,0,0,351,470,1436,1922,3358,1909,1429,7,13,0.994044,0.995125,0.993236,0.990985,0.995125,0.993051,0.996347,0.993236,0.994789,0.993666,0.994181,0.99392,0.994181,checkpoints/59_starnet_baseline_dataset2/seed_2028_round_4_final.pth,results/59_starnet_baseline_dataset2/seed_2028_round_4_predictions.csv,results/59_starnet_baseline_dataset2/seed_2028_round_4_training_history.csv
2028,2028,5,starnet,StarNet-S4,baseline,10,0.00853,0.998817,62.46,5,"1,2,3,4",85,342,845,0,845,3334,354,491,0,0,354,491,1433,1901,3334,1893,1422,11,8,0.994301,0.992324,0.995792,0.994406,0.992324,0.993364,0.994223,0.995792,0.995007,0.994314,0.994058,0.994185,0.994058,checkpoints/59_starnet_baseline_dataset2/seed_2028_round_5_final.pth,results/59_starnet_baseline_dataset2/seed_2028_round_5_predictions.csv,results/59_starnet_baseline_dataset2/seed_2028_round_5_training_history.csv
