cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1398,0.993603
2026,2026,1,cocci,bacilli,9,0.006397
2026,2026,1,bacilli,cocci,10,0.005258
2026,2026,1,bacilli,bacilli,1892,0.994742
2026,2026,2,cocci,cocci,1435,0.994456
2026,2026,2,cocci,bacilli,8,0.005544
2026,2026,2,bacilli,cocci,166,0.087414
2026,2026,2,bacilli,bacilli,1733,0.912586
2026,2026,3,cocci,cocci,1417,0.991603
2026,2026,3,cocci,bacilli,12,0.008397
2026,2026,3,bacilli,cocci,5,0.002572
2026,2026,3,bacilli,bacilli,1939,0.997428
2026,2026,4,cocci,cocci,1433,0.997911
2026,2026,4,cocci,bacilli,3,0.002089
2026,2026,4,bacilli,cocci,9,0.004683
2026,2026,4,bacilli,bacilli,1913,0.995317
2026,2026,5,cocci,cocci,1427,0.995813
2026,2026,5,cocci,bacilli,6,0.004187
2026,2026,5,bacilli,cocci,3,0.001578
2026,2026,5,bacilli,bacilli,1898,0.998422
2027,2027,1,cocci,cocci,1401,0.995736
2027,2027,1,cocci,bacilli,6,0.004264
2027,2027,1,bacilli,cocci,20,0.010515
2027,2027,1,bacilli,bacilli,1882,0.989485
2027,2027,2,cocci,cocci,1436,0.995149
2027,2027,2,cocci,bacilli,7,0.004851
2027,2027,2,bacilli,cocci,7,0.003686
2027,2027,2,bacilli,bacilli,1892,0.996314
2027,2027,3,cocci,cocci,1417,0.991603
2027,2027,3,cocci,bacilli,12,0.008397
2027,2027,3,bacilli,cocci,11,0.005658
2027,2027,3,bacilli,bacilli,1933,0.994342
2027,2027,4,cocci,cocci,1419,0.988162
2027,2027,4,cocci,bacilli,17,0.011838
2027,2027,4,bacilli,cocci,87,0.045265
2027,2027,4,bacilli,bacilli,1835,0.954735
2027,2027,5,cocci,cocci,1423,0.993022
2027,2027,5,cocci,bacilli,10,0.006978
2027,2027,5,bacilli,cocci,5,0.00263
2027,2027,5,bacilli,bacilli,1896,0.99737
2028,2028,1,cocci,cocci,1393,0.99005
2028,2028,1,cocci,bacilli,14,0.00995
2028,2028,1,bacilli,cocci,16,0.008412
2028,2028,1,bacilli,bacilli,1886,0.991588
2028,2028,2,cocci,cocci,1434,0.993763
2028,2028,2,cocci,bacilli,9,0.006237
2028,2028,2,bacilli,cocci,7,0.003686
2028,2028,2,bacilli,bacilli,1892,0.996314
2028,2028,3,cocci,cocci,1418,0.992302
2028,2028,3,cocci,bacilli,11,0.007698
2028,2028,3,bacilli,cocci,6,0.003086
2028,2028,3,bacilli,bacilli,1938,0.996914
2028,2028,4,cocci,cocci,1428,0.994429
2028,2028,4,cocci,bacilli,8,0.005571
2028,2028,4,bacilli,cocci,7,0.003642
2028,2028,4,bacilli,bacilli,1915,0.996358
2028,2028,5,cocci,cocci,1425,0.994417
2028,2028,5,cocci,bacilli,8,0.005583
2028,2028,5,bacilli,cocci,1,0.000526
2028,2028,5,bacilli,bacilli,1900,0.999474
