cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,starnet,StarNet-S4,gan,10,0.002184,1.0,92.98,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1892,1398,9,10,0.994258,0.993603,0.994742,0.992898,0.993603,0.99325,0.995266,0.994742,0.995004,0.994082,0.994173,0.994127,0.994173,checkpoints/60_starnet_gan_dataset2/seed_2026_round_1_final.pth,results/60_starnet_gan_dataset2/seed_2026_round_1_predictions.csv,results/60_starnet_gan_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,starnet,StarNet-S4,gan,10,0.004316,0.998986,85.29,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1733,1435,8,166,0.947935,0.994456,0.912586,0.896315,0.994456,0.942838,0.995405,0.912586,0.952198,0.94586,0.953521,0.947518,0.953521,checkpoints/60_starnet_gan_dataset2/seed_2026_round_2_final.pth,results/60_starnet_gan_dataset2/seed_2026_round_2_predictions.csv,results/60_starnet_gan_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,starnet,StarNet-S4,gan,10,0.003332,1.0,65.17,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1939,1417,12,5,0.99496,0.991603,0.997428,0.996484,0.991603,0.994037,0.993849,0.997428,0.995635,0.995167,0.994515,0.994836,0.994515,checkpoints/60_starnet_gan_dataset2/seed_2026_round_3_final.pth,results/60_starnet_gan_dataset2/seed_2026_round_3_predictions.csv,results/60_starnet_gan_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,starnet,StarNet-S4,gan,10,0.002159,1.0,75.39,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1913,1433,3,9,0.996426,0.997911,0.995317,0.993759,0.997911,0.99583,0.998434,0.995317,0.996873,0.996096,0.996614,0.996352,0.996614,checkpoints/60_starnet_gan_dataset2/seed_2026_round_4_final.pth,results/60_starnet_gan_dataset2/seed_2026_round_4_predictions.csv,results/60_starnet_gan_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,starnet,StarNet-S4,gan,10,0.004079,1.0,77.32,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1898,1427,6,3,0.997301,0.995813,0.998422,0.997902,0.995813,0.996856,0.996849,0.998422,0.997635,0.997375,0.997117,0.997246,0.997117,checkpoints/60_starnet_gan_dataset2/seed_2026_round_5_final.pth,results/60_starnet_gan_dataset2/seed_2026_round_5_predictions.csv,results/60_starnet_gan_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,starnet,StarNet-S4,gan,10,0.01483,0.994898,70.15,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1882,1401,6,20,0.992143,0.995736,0.989485,0.985925,0.995736,0.990806,0.996822,0.989485,0.99314,0.991374,0.99261,0.991973,0.99261,checkpoints/60_starnet_gan_dataset2/seed_2027_round_1_final.pth,results/60_starnet_gan_dataset2/seed_2027_round_1_predictions.csv,results/60_starnet_gan_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,starnet,StarNet-S4,gan,10,0.003036,1.0,70.49,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1892,1436,7,7,0.995811,0.995149,0.996314,0.995149,0.995149,0.995149,0.996314,0.996314,0.996314,0.995731,0.995731,0.995731,0.995731,checkpoints/60_starnet_gan_dataset2/seed_2027_round_2_final.pth,results/60_starnet_gan_dataset2/seed_2027_round_2_predictions.csv,results/60_starnet_gan_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,starnet,StarNet-S4,gan,10,0.003129,1.0,65.7,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1933,1417,12,11,0.993181,0.991603,0.994342,0.992297,0.991603,0.99195,0.99383,0.994342,0.994086,0.993064,0.992972,0.993018,0.992972,checkpoints/60_starnet_gan_dataset2/seed_2027_round_3_final.pth,results/60_starnet_gan_dataset2/seed_2027_round_3_predictions.csv,results/60_starnet_gan_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,starnet,StarNet-S4,gan,10,0.004615,1.0,68.09,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1835,1419,17,87,0.969029,0.988162,0.954735,0.942231,0.988162,0.96465,0.990821,0.954735,0.972443,0.966526,0.971448,0.968546,0.971448,checkpoints/60_starnet_gan_dataset2/seed_2027_round_4_final.pth,results/60_starnet_gan_dataset2/seed_2027_round_4_predictions.csv,results/60_starnet_gan_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,starnet,StarNet-S4,gan,10,0.003133,1.0,70.32,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1896,1423,10,5,0.995501,0.993022,0.99737,0.996499,0.993022,0.994757,0.994753,0.99737,0.99606,0.995626,0.995196,0.995408,0.995196,checkpoints/60_starnet_gan_dataset2/seed_2027_round_5_final.pth,results/60_starnet_gan_dataset2/seed_2027_round_5_predictions.csv,results/60_starnet_gan_dataset2/seed_2027_round_5_training_history.csv
