cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1397,0.992893
2026,2026,1,cocci,bacilli,10,0.007107
2026,2026,1,bacilli,cocci,20,0.010515
2026,2026,1,bacilli,bacilli,1882,0.989485
2026,2026,2,cocci,cocci,1418,0.982675
2026,2026,2,cocci,bacilli,25,0.017325
2026,2026,2,bacilli,cocci,8,0.004213
2026,2026,2,bacilli,bacilli,1891,0.995787
2026,2026,3,cocci,cocci,1421,0.994402
2026,2026,3,cocci,bacilli,8,0.005598
2026,2026,3,bacilli,cocci,7,0.003601
2026,2026,3,bacilli,bacilli,1937,0.996399
2026,2026,4,cocci,cocci,1428,0.994429
2026,2026,4,cocci,bacilli,8,0.005571
2026,2026,4,bacilli,cocci,3,0.001561
2026,2026,4,bacilli,bacilli,1919,0.998439
2026,2026,5,cocci,cocci,1417,0.988835
2026,2026,5,cocci,bacilli,16,0.011165
2026,2026,5,bacilli,cocci,8,0.004208
2026,2026,5,bacilli,bacilli,1893,0.995792
2027,2027,1,cocci,cocci,1399,0.994314
2027,2027,1,cocci,bacilli,8,0.005686
2027,2027,1,bacilli,cocci,3,0.001577
2027,2027,1,bacilli,bacilli,1899,0.998423
2027,2027,2,cocci,cocci,1435,0.994456
2027,2027,2,cocci,bacilli,8,0.005544
2027,2027,2,bacilli,cocci,4,0.002106
2027,2027,2,bacilli,bacilli,1895,0.997894
2027,2027,3,cocci,cocci,1420,0.993702
2027,2027,3,cocci,bacilli,9,0.006298
2027,2027,3,bacilli,cocci,6,0.003086
2027,2027,3,bacilli,bacilli,1938,0.996914
2027,2027,4,cocci,cocci,1432,0.997214
2027,2027,4,cocci,bacilli,4,0.002786
2027,2027,4,bacilli,cocci,20,0.010406
2027,2027,4,bacilli,bacilli,1902,0.989594
2027,2027,5,cocci,cocci,1422,0.992324
2027,2027,5,cocci,bacilli,11,0.007676
2027,2027,5,bacilli,cocci,1,0.000526
2027,2027,5,bacilli,bacilli,1900,0.999474
2028,2028,1,cocci,cocci,1401,0.995736
2028,2028,1,cocci,bacilli,6,0.004264
2028,2028,1,bacilli,cocci,8,0.004206
2028,2028,1,bacilli,bacilli,1894,0.995794
2028,2028,2,cocci,cocci,1417,0.981982
2028,2028,2,cocci,bacilli,26,0.018018
2028,2028,2,bacilli,cocci,14,0.007372
2028,2028,2,bacilli,bacilli,1885,0.992628
2028,2028,3,cocci,cocci,1419,0.993002
2028,2028,3,cocci,bacilli,10,0.006998
2028,2028,3,bacilli,cocci,11,0.005658
2028,2028,3,bacilli,bacilli,1933,0.994342
2028,2028,4,cocci,cocci,1430,0.995822
2028,2028,4,cocci,bacilli,6,0.004178
2028,2028,4,bacilli,cocci,25,0.013007
2028,2028,4,bacilli,bacilli,1897,0.986993
2028,2028,5,cocci,cocci,1426,0.995115
2028,2028,5,cocci,bacilli,7,0.004885
2028,2028,5,bacilli,cocci,5,0.00263
2028,2028,5,bacilli,bacilli,1896,0.99737
