cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,starnet,StarNet-S4,stylegan3,10,0.002659,1.0,95.08,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1882,1397,10,20,0.990934,0.992893,0.989485,0.985886,0.992893,0.989377,0.994715,0.989485,0.992093,0.9903,0.991189,0.990735,0.991189,checkpoints/61_starnet_stylegan3_dataset2/seed_2026_round_1_final.pth,results/61_starnet_stylegan3_dataset2/seed_2026_round_1_predictions.csv,results/61_starnet_stylegan3_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,starnet,StarNet-S4,stylegan3,10,0.001492,1.0,86.24,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1891,1418,25,8,0.990126,0.982675,0.995787,0.99439,0.982675,0.988498,0.986952,0.995787,0.99135,0.990671,0.989231,0.989924,0.989231,checkpoints/61_starnet_stylegan3_dataset2/seed_2026_round_2_final.pth,results/61_starnet_stylegan3_dataset2/seed_2026_round_2_predictions.csv,results/61_starnet_stylegan3_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,starnet,StarNet-S4,stylegan3,10,0.003196,1.0,65.69,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1937,1421,8,7,0.995553,0.994402,0.996399,0.995098,0.994402,0.99475,0.995887,0.996399,0.996143,0.995492,0.9954,0.995446,0.9954,checkpoints/61_starnet_stylegan3_dataset2/seed_2026_round_3_final.pth,results/61_starnet_stylegan3_dataset2/seed_2026_round_3_predictions.csv,results/61_starnet_stylegan3_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,starnet,StarNet-S4,stylegan3,10,0.003641,1.0,75.64,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1919,1428,8,3,0.996724,0.994429,0.998439,0.997904,0.994429,0.996163,0.995848,0.998439,0.997142,0.996876,0.996434,0.996653,0.996434,checkpoints/61_starnet_stylegan3_dataset2/seed_2026_round_4_final.pth,results/61_starnet_stylegan3_dataset2/seed_2026_round_4_predictions.csv,results/61_starnet_stylegan3_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,starnet,StarNet-S4,stylegan3,10,0.020674,0.994908,78.33,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1893,1417,16,8,0.992801,0.988835,0.995792,0.994386,0.988835,0.991603,0.991619,0.995792,0.993701,0.993002,0.992313,0.992652,0.992313,checkpoints/61_starnet_stylegan3_dataset2/seed_2026_round_5_final.pth,results/61_starnet_stylegan3_dataset2/seed_2026_round_5_predictions.csv,results/61_starnet_stylegan3_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,starnet,StarNet-S4,stylegan3,10,0.0119,0.997959,71.36,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1899,1399,8,3,0.996676,0.994314,0.998423,0.99786,0.994314,0.996084,0.995805,0.998423,0.997112,0.996833,0.996368,0.996598,0.996368,checkpoints/61_starnet_stylegan3_dataset2/seed_2027_round_1_final.pth,results/61_starnet_stylegan3_dataset2/seed_2027_round_1_predictions.csv,results/61_starnet_stylegan3_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,starnet,StarNet-S4,stylegan3,10,0.002314,1.0,71.71,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1895,1435,8,4,0.996409,0.994456,0.997894,0.99722,0.994456,0.995836,0.995796,0.997894,0.996844,0.996508,0.996175,0.99634,0.996175,checkpoints/61_starnet_stylegan3_dataset2/seed_2027_round_2_final.pth,results/61_starnet_stylegan3_dataset2/seed_2027_round_2_predictions.csv,results/61_starnet_stylegan3_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,starnet,StarNet-S4,stylegan3,10,0.003419,1.0,66.29,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1938,1420,9,6,0.995553,0.993702,0.996914,0.995792,0.993702,0.994746,0.995378,0.996914,0.996145,0.995585,0.995308,0.995446,0.995308,checkpoints/61_starnet_stylegan3_dataset2/seed_2027_round_3_final.pth,results/61_starnet_stylegan3_dataset2/seed_2027_round_3_predictions.csv,results/61_starnet_stylegan3_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,starnet,StarNet-S4,stylegan3,10,0.003065,1.0,68.86,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1902,1432,4,20,0.992853,0.997214,0.989594,0.986226,0.997214,0.99169,0.997901,0.989594,0.99373,0.992064,0.993404,0.99271,0.993404,checkpoints/61_starnet_stylegan3_dataset2/seed_2027_round_4_final.pth,results/61_starnet_stylegan3_dataset2/seed_2027_round_4_predictions.csv,results/61_starnet_stylegan3_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,starnet,StarNet-S4,stylegan3,10,0.002608,1.0,71.34,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1900,1422,11,1,0.996401,0.992324,0.999474,0.999297,0.992324,0.995798,0.994244,0.999474,0.996852,0.996771,0.995899,0.996325,0.995899,checkpoints/61_starnet_stylegan3_dataset2/seed_2027_round_5_final.pth,results/61_starnet_stylegan3_dataset2/seed_2027_round_5_predictions.csv,results/61_starnet_stylegan3_dataset2/seed_2027_round_5_training_history.csv
2028,2028,1,starnet,StarNet-S4,stylegan3,10,0.012247,0.997959,71.27,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1894,1401,6,8,0.995769,0.995736,0.995794,0.994322,0.995736,0.995028,0.996842,0.995794,0.996318,0.995582,0.995765,0.995673,0.995765,checkpoints/61_starnet_stylegan3_dataset2/seed_2028_round_1_final.pth,results/61_starnet_stylegan3_dataset2/seed_2028_round_1_predictions.csv,results/61_starnet_stylegan3_dataset2/seed_2028_round_1_training_history.csv
2028,2028,2,starnet,StarNet-S4,stylegan3,10,0.002989,1.0,72.6,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1885,1417,26,14,0.988031,0.981982,0.992628,0.990217,0.981982,0.986082,0.986395,0.992628,0.989501,0.988306,0.987305,0.987792,0.987305,checkpoints/61_starnet_stylegan3_dataset2/seed_2028_round_2_final.pth,results/61_starnet_stylegan3_dataset2/seed_2028_round_2_predictions.csv,results/61_starnet_stylegan3_dataset2/seed_2028_round_2_training_history.csv
2028,2028,3,starnet,StarNet-S4,stylegan3,10,0.002129,1.0,66.28,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1933,1419,10,11,0.993774,0.993002,0.994342,0.992308,0.993002,0.992655,0.994853,0.994342,0.994597,0.993581,0.993672,0.993626,0.993672,checkpoints/61_starnet_stylegan3_dataset2/seed_2028_round_3_final.pth,results/61_starnet_stylegan3_dataset2/seed_2028_round_3_predictions.csv,results/61_starnet_stylegan3_dataset2/seed_2028_round_3_training_history.csv
2028,2028,4,starnet,StarNet-S4,stylegan3,10,0.003897,1.0,68.74,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1897,1430,6,25,0.990768,0.995822,0.986993,0.982818,0.995822,0.989277,0.996847,0.986993,0.991895,0.989832,0.991407,0.990586,0.991407,checkpoints/61_starnet_stylegan3_dataset2/seed_2028_round_4_final.pth,results/61_starnet_stylegan3_dataset2/seed_2028_round_4_predictions.csv,results/61_starnet_stylegan3_dataset2/seed_2028_round_4_training_history.csv
