cnn_seed,run_seed,round_id,true_class,predicted_class,count,row_rate
2026,2026,1,cocci,cocci,1398,0.993603
2026,2026,1,cocci,bacilli,9,0.006397
2026,2026,1,bacilli,cocci,12,0.006309
2026,2026,1,bacilli,bacilli,1890,0.993691
2026,2026,2,cocci,cocci,1430,0.990991
2026,2026,2,cocci,bacilli,13,0.009009
2026,2026,2,bacilli,cocci,2,0.001053
2026,2026,2,bacilli,bacilli,1897,0.998947
2026,2026,3,cocci,cocci,1420,0.993702
2026,2026,3,cocci,bacilli,9,0.006298
2026,2026,3,bacilli,cocci,7,0.003601
2026,2026,3,bacilli,bacilli,1937,0.996399
2026,2026,4,cocci,cocci,1431,0.996518
2026,2026,4,cocci,bacilli,5,0.003482
2026,2026,4,bacilli,cocci,11,0.005723
2026,2026,4,bacilli,bacilli,1911,0.994277
2026,2026,5,cocci,cocci,1426,0.995115
2026,2026,5,cocci,bacilli,7,0.004885
2026,2026,5,bacilli,cocci,3,0.001578
2026,2026,5,bacilli,bacilli,1898,0.998422
2027,2027,1,cocci,cocci,1402,0.996446
2027,2027,1,cocci,bacilli,5,0.003554
2027,2027,1,bacilli,cocci,9,0.004732
2027,2027,1,bacilli,bacilli,1893,0.995268
2027,2027,2,cocci,cocci,1428,0.989605
2027,2027,2,cocci,bacilli,15,0.010395
2027,2027,2,bacilli,cocci,5,0.002633
2027,2027,2,bacilli,bacilli,1894,0.997367
2027,2027,3,cocci,cocci,1415,0.990203
2027,2027,3,cocci,bacilli,14,0.009797
2027,2027,3,bacilli,cocci,6,0.003086
2027,2027,3,bacilli,bacilli,1938,0.996914
2027,2027,4,cocci,cocci,1432,0.997214
2027,2027,4,cocci,bacilli,4,0.002786
2027,2027,4,bacilli,cocci,47,0.024454
2027,2027,4,bacilli,bacilli,1875,0.975546
2027,2027,5,cocci,cocci,1421,0.991626
2027,2027,5,cocci,bacilli,12,0.008374
2027,2027,5,bacilli,cocci,2,0.001052
2027,2027,5,bacilli,bacilli,1899,0.998948
2028,2028,1,cocci,cocci,1398,0.993603
2028,2028,1,cocci,bacilli,9,0.006397
2028,2028,1,bacilli,cocci,12,0.006309
2028,2028,1,bacilli,bacilli,1890,0.993691
2028,2028,2,cocci,cocci,1435,0.994456
2028,2028,2,cocci,bacilli,8,0.005544
2028,2028,2,bacilli,cocci,6,0.00316
2028,2028,2,bacilli,bacilli,1893,0.99684
2028,2028,3,cocci,cocci,1415,0.990203
2028,2028,3,cocci,bacilli,14,0.009797
2028,2028,3,bacilli,cocci,5,0.002572
2028,2028,3,bacilli,bacilli,1939,0.997428
2028,2028,4,cocci,cocci,1430,0.995822
2028,2028,4,cocci,bacilli,6,0.004178
2028,2028,4,bacilli,cocci,10,0.005203
2028,2028,4,bacilli,bacilli,1912,0.994797
2028,2028,5,cocci,cocci,1427,0.995813
2028,2028,5,cocci,bacilli,6,0.004187
2028,2028,5,bacilli,cocci,1,0.000526
2028,2028,5,bacilli,bacilli,1900,0.999474
