cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path
2026,2026,1,starnet,StarNet-S4,diffusion_gan,10,0.0024,1.0,92.42,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1890,1398,9,12,0.993654,0.993603,0.993691,0.991489,0.993603,0.992545,0.995261,0.993691,0.994475,0.993375,0.993647,0.99351,0.993647,checkpoints/62_starnet_diffusion_gan_dataset2/seed_2026_round_1_final.pth,results/62_starnet_diffusion_gan_dataset2/seed_2026_round_1_predictions.csv,results/62_starnet_diffusion_gan_dataset2/seed_2026_round_1_training_history.csv
2026,2026,2,starnet,StarNet-S4,diffusion_gan,10,0.001505,1.0,85.44,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1897,1430,13,2,0.995512,0.990991,0.998947,0.998603,0.990991,0.994783,0.993194,0.998947,0.996062,0.995899,0.994969,0.995422,0.994969,checkpoints/62_starnet_diffusion_gan_dataset2/seed_2026_round_2_final.pth,results/62_starnet_diffusion_gan_dataset2/seed_2026_round_2_predictions.csv,results/62_starnet_diffusion_gan_dataset2/seed_2026_round_2_training_history.csv
2026,2026,3,starnet,StarNet-S4,diffusion_gan,10,0.002825,1.0,64.96,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1937,1420,9,7,0.995256,0.993702,0.996399,0.995095,0.993702,0.994398,0.995375,0.996399,0.995887,0.995235,0.995051,0.995142,0.995051,checkpoints/62_starnet_diffusion_gan_dataset2/seed_2026_round_3_final.pth,results/62_starnet_diffusion_gan_dataset2/seed_2026_round_3_predictions.csv,results/62_starnet_diffusion_gan_dataset2/seed_2026_round_3_training_history.csv
2026,2026,4,starnet,StarNet-S4,diffusion_gan,10,0.002248,1.0,75.11,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1911,1431,5,11,0.995235,0.996518,0.994277,0.992372,0.996518,0.994441,0.99739,0.994277,0.995831,0.994881,0.995397,0.995136,0.995397,checkpoints/62_starnet_diffusion_gan_dataset2/seed_2026_round_4_final.pth,results/62_starnet_diffusion_gan_dataset2/seed_2026_round_4_predictions.csv,results/62_starnet_diffusion_gan_dataset2/seed_2026_round_4_training_history.csv
2026,2026,5,starnet,StarNet-S4,diffusion_gan,10,0.021347,0.994908,77.4,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1898,1426,7,3,0.997001,0.995115,0.998422,0.997901,0.995115,0.996506,0.996325,0.998422,0.997373,0.997113,0.996769,0.996939,0.996769,checkpoints/62_starnet_diffusion_gan_dataset2/seed_2026_round_5_final.pth,results/62_starnet_diffusion_gan_dataset2/seed_2026_round_5_predictions.csv,results/62_starnet_diffusion_gan_dataset2/seed_2026_round_5_training_history.csv
2027,2027,1,starnet,StarNet-S4,diffusion_gan,10,0.015403,0.997959,70.44,1,"2,3,4,5",86,341,870,110,980,3309,380,490,110,0,490,490,1407,1902,3309,1893,1402,5,9,0.995769,0.996446,0.995268,0.993622,0.996446,0.995032,0.997366,0.995268,0.996316,0.995494,0.995857,0.995674,0.995857,checkpoints/62_starnet_diffusion_gan_dataset2/seed_2027_round_1_final.pth,results/62_starnet_diffusion_gan_dataset2/seed_2027_round_1_predictions.csv,results/62_starnet_diffusion_gan_dataset2/seed_2027_round_1_training_history.csv
2027,2027,2,starnet,StarNet-S4,diffusion_gan,10,0.003392,1.0,71.65,2,"1,3,4,5",86,341,837,149,986,3342,344,493,149,0,493,493,1443,1899,3342,1894,1428,15,5,0.994016,0.989605,0.997367,0.996511,0.989605,0.993046,0.992142,0.997367,0.994748,0.994327,0.993486,0.993897,0.993486,checkpoints/62_starnet_diffusion_gan_dataset2/seed_2027_round_2_final.pth,results/62_starnet_diffusion_gan_dataset2/seed_2027_round_2_predictions.csv,results/62_starnet_diffusion_gan_dataset2/seed_2027_round_2_training_history.csv
2027,2027,3,starnet,StarNet-S4,diffusion_gan,10,0.003221,1.0,65.71,3,"1,2,4,5",85,342,806,90,896,3373,358,448,90,0,448,448,1429,1944,3373,1938,1415,14,6,0.994071,0.990203,0.996914,0.995778,0.990203,0.992982,0.992828,0.996914,0.994867,0.994303,0.993558,0.993924,0.993558,checkpoints/62_starnet_diffusion_gan_dataset2/seed_2027_round_3_final.pth,results/62_starnet_diffusion_gan_dataset2/seed_2027_round_3_predictions.csv,results/62_starnet_diffusion_gan_dataset2/seed_2027_round_3_training_history.csv
2027,2027,4,starnet,StarNet-S4,diffusion_gan,10,0.010114,0.998936,68.18,4,"1,2,3,5",85,342,821,119,940,3358,351,470,119,0,470,470,1436,1922,3358,1875,1432,4,47,0.984812,0.997214,0.975546,0.968222,0.997214,0.982504,0.997871,0.975546,0.986582,0.983046,0.98638,0.984543,0.98638,checkpoints/62_starnet_diffusion_gan_dataset2/seed_2027_round_4_final.pth,results/62_starnet_diffusion_gan_dataset2/seed_2027_round_4_predictions.csv,results/62_starnet_diffusion_gan_dataset2/seed_2027_round_4_training_history.csv
2027,2027,5,starnet,StarNet-S4,diffusion_gan,10,0.010467,0.998982,70.51,5,"1,2,3,4",85,342,845,137,982,3334,354,491,137,0,491,491,1433,1901,3334,1899,1421,12,2,0.995801,0.991626,0.998948,0.998595,0.991626,0.995098,0.993721,0.998948,0.996327,0.996158,0.995287,0.995713,0.995287,checkpoints/62_starnet_diffusion_gan_dataset2/seed_2027_round_5_final.pth,results/62_starnet_diffusion_gan_dataset2/seed_2027_round_5_predictions.csv,results/62_starnet_diffusion_gan_dataset2/seed_2027_round_5_training_history.csv
